ID,시도,시군구,읍면동,행정기관코드,총인구수,어린이,노인,겹침 비율
1492,충청남도,천안시 동남구,동면,4413137000,1927,51,963,0
1499,충청남도,천안시 서북구,성환읍,4413325000,22000,2380,6461,0.039942297
1501,충청남도,천안시 서북구,직산읍,4413325600,19330,2488,3535,0.048048045
1502,충청남도,천안시 서북구,입장면,4413331000,7663,534,2586,0.165515032
1509,충청남도,천안시 서북구,부성1동,4413358000,51647,7811,4317,0.21755428
1526,충청남도,아산시,염치읍,4420025000,5764,514,2002,0.119394284
1529,충청남도;충청남도,아산시;아산시,둔포면;영인면,4420036000,28824,4537,5869,0.223348161
1531,충청남도;충청남도,아산시;아산시,도고면;신창면,4420040000,26708,3572,6345,0.228005469
1540,충청남도;충청남도,서산시;서산시,운산면;해미면,4421038000,11880,844,5175,0
1541,충청남도,서산시,고북면,4421040000,5638,546,2178,0
1544,충청남도,서산시,석남동,4421055000,34404,7690,4104,0.261083016
1547,충청남도;충청남도;충청남도;충청남도;충청남도;충청남도;충청남도,논산시;논산시;논산시;논산시;논산시;논산시;논산시,성동면;광석면;노성면;상월면;부적면;연산면;벌곡면,4423031000,24678,1518,11623,0.11893121
1548,충청남도,논산시,양촌면,4423039000,5786,633,2249,0
1550,충청남도;충청남도;충청남도,논산시;논산시;논산시,가야곡면;은진면;채운면,4423040000,8901,538,4150,0.055475833
1552,충청남도,계룡시,두마면,4425031000,14016,2858,1866,0.032659404
1558,충청남도;충청남도,당진시;당진시,우강면;신평면,4427037000,19431,2954,5696,0.287671579
1564,충청남도;충청남도;충청남도;충청남도;충청남도;충청남도;충청남도;충청남도;충청남도,금산군;금산군;금산군;금산군;금산군;금산군;금산군;금산군;금산군,금성면;제원면;부리면;군북면;남일면;남이면;진산면;복수면;추부면,4471031000,26987,2224,12122,0.026992662
1566,충청남도;충청남도;충청남도;충청남도;충청남도;충청남도;충청남도;충청남도;충청남도,부여군;부여군;부여군;부여군;부여군;부여군;부여군;부여군;부여군,규암면;은산면;외산면;내산면;구룡면;홍산면;옥산면;남면;충화면,4476031000,27364,2707,11623,0.022963006
1567,충청남도;충청남도;충청남도;충청남도;충청남도;충청남도,부여군;부여군;부여군;부여군;부여군;부여군,양화면;임천면;장암면;세도면;석성면;초촌면,4476040000,13997,895,7269,0.021190493
1575,충청남도,홍성군,광천읍,4480025300,7375,606,3572,0
1576,충청남도;충청남도;충청남도;충청남도;충청남도;충청남도;충청남도;충청남도,홍성군;홍성군;홍성군;홍성군;홍성군;홍성군;홍성군;홍성군,금마면;홍동면;장곡면;은하면;결성면;서부면;갈산면;구항면,4480032000,22601,1254,11644,0.032802332
1597,전라남도;전라남도;전라남도;전라남도;전라남도,여수시;여수시;여수시;여수시;여수시,화양면;남면;화정면;화정면개도출장소;삼산면,4613033000,12621,634,6114,0.22074179
1607,전라남도,순천시,승주읍,4615025000,2361,94,1200,0.057336201
1610,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,순천시;순천시;순천시;순천시;순천시;순천시;순천시,서면;황전면;월등면;주암면;송광면;외서면;낙안면,4615035000,27206,2925,10047,0.244558646
1611,전라남도,순천시,별량면,4615039000,5098,280,2477,0.02826786
1612,전라남도,순천시,상사면,4615040000,2785,150,1197,0.024098375
1613,전라남도;전라남도,순천시;순천시,향동;매곡동,4615051500,9433,1148,2933,0.289567711
1614,전라남도,순천시,삼산동,4615055000,28779,4968,5063,0.239790302
1620,전라남도,나주시,남평읍,4617025000,11623,1752,3168,0.012854041
1621,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,나주시;나주시;나주시;나주시;나주시;나주시;나주시;나주시;나주시,세지면;왕곡면;반남면;공산면;동강면;다시면;문평면;노안면;금천면,4617031000,26484,1771,11702,0.025768806
1622,전라남도;전라남도;전라남도,나주시;나주시;나주시,산포면;다도면;봉황면,4617040000,8699,412,4137,0.079488076
1623,전라남도;전라남도;전라남도;전라남도;전라남도,나주시;나주시;나주시;나주시;나주시,송월동;영강동;금남동;성북동;영산동,4617051000,27832,3942,6860,0
1626,전라남도,나주시,이창동,4617060000,3135,247,1134,0
1627,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,광양시;광양시;광양시;광양시;광양시;광양시,봉강면;옥룡면;옥곡면;진상면;진월면;다압면,4623031000,16062,999,6713,0.268781464
1633,전라남도;전라남도,담양군;담양군,수북면;대전면,4671040000,8810,967,3074,0.05076328
1638,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,구례군;구례군;구례군;구례군;구례군;구례군;구례군,문척면;간전면;토지면;마산면;광의면;용방면;산동면,4673031000,13643,932,6347,0.037895298
1639,전라남도;전라남도;전라남도;전라남도,고흥군;고흥군;고흥군;고흥군,고흥읍;도양읍;도양읍소록출장소;도양읍시산출장소,4677025000,22407,3221,7146,0.292460328
1640,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,고흥군;고흥군;고흥군;고흥군;고흥군;고흥군;고흥군;고흥군;고흥군,풍양면;도덕면;금산면;도화면;포두면;봉래면;점암면;과역면;남양면,4677031000,27256,1386,14788,0.076852885
1643,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,보성군;보성군;보성군;보성군;보성군;보성군;보성군;보성군;보성군;보성군,노동면;미력면;겸백면;율어면;복내면;문덕면;조성면;득량면;득량면예당출장소;회천면,4678031000,16775,1040,8470,0.010935151
1645,전라남도,보성군,웅치면,4678040000,1023,40,570,0
1646,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,화순군;화순군;화순군;화순군;화순군;화순군;화순군;화순군;화순군;화순군,한천면;한천면영외출장소;춘양면;청풍면;이양면;능주면;도곡면;도암면;이서면;백아면,4679031000,15025,834,7346,0.276696485
1648,전라남도;전라남도;전라남도,장흥군;장흥군;장흥군,장흥읍;관산읍;대덕읍,4680025000,21847,2916,7339,0.140848705
1649,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,장흥군;장흥군;장흥군;장흥군;장흥군;장흥군;장흥군,용산면;안양면;장동면;장평면;유치면;부산면;회진면,4680031000,12472,717,6187,0.004754681
1651,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,강진군;강진군;강진군;강진군;강진군;강진군;강진군;강진군;강진군,군동면;칠량면;대구면;도암면;신전면;성전면;작천면;병영면;옴천면,4681031000,17634,1398,8426,0.026301169
1652,전라남도,강진군,마량면,4681040000,1655,119,725,0
1654,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,해남군;해남군;해남군;해남군;해남군;해남군;해남군;해남군;해남군,삼산면;화산면;현산면;송지면;북평면;북일면;옥천면;계곡면;마산면,4682031000,25062,1718,11998,0.001187326
1655,전라남도;전라남도;전라남도;전라남도,해남군;해남군;해남군;해남군,황산면;산이면;문내면;화원면,4682040000,14323,1045,6667,0.126069741
1657,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,영암군;영암군;영암군;영암군;영암군;영암군;영암군;영암군;영암군,덕진면;금정면;신북면;시종면;도포면;군서면;서호면;학산면;미암면,4683031000,21946,1283,10413,0.061508797
1667,전라남도,장성군,장성읍,4688025000,14154,2176,4039,0.281042998
1668,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,장성군;장성군;장성군;장성군;장성군;장성군;장성군;장성군;장성군,진원면;남면;동화면;삼서면;삼계면;황룡면;서삼면;북일면;북이면,4688031000,26344,2594,9681,0.050745298
1669,전라남도,장성군,북하면,4688040000,1962,116,904,0
1670,전라남도;전라남도;전라남도;전라남도,완도군;완도군;완도군;완도군,완도읍;금일읍;노화읍;노화읍넙도출장소,4689025000,24874,3639,7629,0
1671,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,완도군;완도군;완도군;완도군;완도군;완도군;완도군;완도군;완도군;완도군,군외면;신지면;고금면;약산면;청산면;청산면모도출장소;소안면;금당면;보길면;생일면,4689031000,20449,1690,9511,0.052880175
1673,전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도;전라남도,진도군;진도군;진도군;진도군;진도군;진도군;진도군;진도군,군내면;고군면;의신면;임회면;지산면;조도면;조도면가사출장소;조도면거차출장소,4690031000,18077,1425,8234,0.028546095
1676,전라남도;전라남도;전라남도,신안군;신안군;신안군,안좌면;팔금면;암태면,4691040000,6266,570,2755,0.155642155
1677,경상북도,포항시 남구,구룡포읍,4711125000,6540,247,3277,0.18130104
1685,경상북도,포항시 북구,흥해읍,4711325000,57388,10245,9764,0.159968262
1696,경상북도;경상북도,경주시;경주시,감포읍;안강읍,4713025000,27456,2491,9964,0.113038214
1697,경상북도,경주시,건천읍,4713025600,12476,1207,4057,0
1698,경상북도,경주시,외동읍,4713025900,21351,2243,6028,0.2580238
1699,경상북도;경상북도;경상북도;경상북도;경상북도,경주시;경주시;경주시;경주시;경주시,문무대왕면;양남면;내남면;산내면;서면,4713031500,20779,1268,9368,0
